S.No, Name , ratings
1,The Truman Show (1998), 94%
2,Shakespeare in Love (1998), 92%
3,Saving Private Ryan (1998), 92%
4,Antz (1998), 94%
5,Gods and Monsters (1998), 95%
6,Out of Sight (1998), 93%
7,A Bug's Life (1998), 92%
8,Central Station (Central do Brasil) (1998), 94%
9,The Dreamlife of Angels (1998), 93%
10,Rushmore (1998), 89%
11,Ever After: A Cinderella Story (1998), 91%
12,Cure (1998), 92%
13,A Simple Plan (1998), 90%
14,One True Thing (1998), 89%
15,The Apostle (1998), 89%
16,Pi (1998), 88%
17,Pleasantville (1998), 85%
18,Mulan (1998), 86%
19,Hilary and Jackie (1998), 86%
20,The Parent Trap (1998), 86%
21,There's Something About Mary (1998), 83%
22,American History X (1998), 83%
23,The Big Lebowski (1998), 82%
24,Last Night (1998), 84%
25,Waking Ned Devine (1998), 83%
26,Happiness (1998), 83%
27,Elizabeth (1998), 82%
28,The Mask of Zorro (1998), 81%
29,The Thin Red Line (1998), 79%
30,Primary Colors (1998), 80%
31,The Prince of Egypt (1998), 79%
32,The General (1998), 81%
33,Slums of Beverly Hills (1998), 80%
34,He Got Game (1998), 80%
35,The Opposite of Sex (1998), 80%
36,Live Flesh (Carne trémula) (1998), 80%
37,Beloved (1998), 78%
38,Little Voice (1998), 79%
39,Your Friends & Neighbors (1998), 77%
40,Bulworth (1998), 76%
41,Buffalo '66 (1998), 76%
42,Dark City (1998), 74%
43,The Negotiator (1998), 75%
44,Next Stop Wonderland (1998), 75%
45,The Horse Whisperer (1998), 74%
46,The Mighty (1998), 75%
47,Last Days of Disco (1998), 73%
48,Les Miserables (1998), 74%
49,Enemy of the State (1998), 71%
50,High Art (1998), 73%
51,You've Got Mail (1998), 69%
52,Wilde (1998), 71%
53,Return to Paradise (1998), 71%
54,Ronin (1998), 68%
55,The Wedding Singer (1998), 68%
56,Rounders (1998), 65%
57,The X-Files - Fight the Future (1998), 65%
58,Hideous Kinky (1998), 65%
59,Wild Things (1998), 64%
60,Babe: Pig in the City (1998), 63%
61,Clay Pigeons (1998), 62%
62,Kurt & Courtney (1998), 62%
63,Sliding Doors (1998), 62%
64,Rush Hour (1998), 60%
65,A Civil Action (1998), 60%
66,Twilight (1998), 60%
67,Playing by Heart (1998), 60%
68,The Rugrats Movie (1998), 59%
69,City of Angels (1998), 58%
70,Permanent Midnight (1998), 58%
71,Blade (1998), 54%
72,Star Trek: Insurrection (1998), 55%
73,What Dreams May Come (1998), 54%
74,A Perfect Murder (1998), 55%
75,Velvet Goldmine (1998), 55%
76,Why Do Fools Fall In Love (1998), 54%
77,Apt Pupil (Un Élève Doué) (1998), 53%
78,The Faculty (1998), 53%
79,Lethal Weapon 4 (1998), 52%
80,Two Girls and a Guy (1998), 52%
81,Halloween H20 (1998), 52%
82,Mighty Joe Young (1998), 52%
83,Pecker (1998), 52%
84,Dance with Me (1998), 51%
85,Fear and Loathing in Las Vegas (1998), 49%
86,How Stella Got Her Groove Back (1998), 49%
87,The Object of My Affection (1998), 49%
88,The Corruptor (1998), 49%
89,Small Soldiers (1998), 48%
90,Deep Impact (1998), 45%
91,The Siege (1998), 44%
92,Stepmom (1998), 44%
93,Very Bad Things (1998), 44%
94,Dr. Dolittle (1998), 43%
95,Armageddon (1998), 38%
96,BASEketball (1998), 42%
97,Snake Eyes (1998), 40%
98,Can't Hardly Wait (1998), 40%
99,Psycho (1998), 37%
100,John Carpenter's Vampires (1998), 38%
